"$id","http://www.w3.org/2000/01/rdf-schema#label","http://www.w3.org/2003/01/geo/wgs84_pos#lat","http://www.w3.org/2003/01/geo/wgs84_pos#long"
"http://irail.be/stations/NMBS/008866654","Aubange [NMBS/SNCB]","49.564093","5.798060"
"http://irail.be/stations/NMBS/008200940","Rodange (l)","49.551283","5.845028"
"http://irail.be/stations/NMBS/008892106","Deinze [NMBS/SNCB]","50.978258","3.534432"
"http://irail.be/stations/NMBS/008821105","Noorderkempen [NMBS/SNCB]","51.356838","4.632204"
"http://irail.be/stations/NMBS/008833605","Landen [NMBS/SNCB]","50.747927","5.079660"
"http://irail.be/stations/NMBS/008821832","Heist-Op-Den-Berg [NMBS/SNCB]","51.074146","4.708235"
"http://irail.be/stations/NMBS/008863461","Marche-Les-Dames [NMBS/SNCB]","50.480741","4.964580"
"http://irail.be/stations/NMBS/008892908","Ronse [NMBS/SNCB]","50.742506","3.602552"
"http://irail.be/stations/NMBS/008832433","Geel [NMBS/SNCB]","51.168955","4.988608"
"http://irail.be/stations/NMBS/008871381","Godarville [NMBS/SNCB]","50.492795","4.290308"
"http://irail.be/stations/NMBS/008833175","Wijgmaal [NMBS/SNCB]","50.922740","4.701475"
"http://irail.be/stations/NMBS/008841467","Fexhe-Le-Haut-Clocher [NMBS/SNCB]","50.664049","5.398453"
"http://irail.be/stations/NMBS/008841673","Liers [NMBS/SNCB]","50.698181","5.566830"
"http://irail.be/stations/NMBS/008812070","Asse [NMBS/SNCB]","50.906488","4.207985"
"http://irail.be/stations/NMBS/008892288","Aarsele [NMBS/SNCB]","50.984460","3.418363"
"http://irail.be/stations/NMBS/008833233","Wezemaal [NMBS/SNCB]","50.956261","4.747679"
"http://irail.be/stations/NMBS/008893526","Schoonaarde [NMBS/SNCB]","51.003149","4.011094"
"http://irail.be/stations/NMBS/008814126","Ukkel-Stalle [NMBS/SNCB]","50.802411","4.323901"
"http://irail.be/stations/NMBS/008842036","Chenee [NMBS/SNCB]","50.608019","5.616073"
"http://irail.be/stations/NMBS/008863867","Beauraing [NMBS/SNCB]","50.114430","4.956840"
"http://irail.be/stations/NMBS/008895877","Ede [NMBS/SNCB]","50.911054","3.987524"
"http://irail.be/stations/NMBS/008891652","Duinbergen [NMBS/SNCB]","51.338195","3.263587"
"http://irail.be/stations/NMBS/008873122","Philippeville [NMBS/SNCB]","50.191639","4.535956"
"http://irail.be/stations/NMBS/008895737","Zandbergen [NMBS/SNCB]","50.806986","3.957653"
"http://irail.be/stations/NMBS/008891553","Zeebrugge-Dorp [NMBS/SNCB]","51.326383","3.195170"
"http://irail.be/stations/NMBS/008866142","Habay [NMBS/SNCB]","49.718249","5.632685"
"http://irail.be/stations/NMBS/008831781","Bokrijk [NMBS/SNCB]","50.955812","5.408386"
"http://irail.be/stations/NMBS/008885530","Maubray [NMBS/SNCB]","50.547557","3.495527"
"http://irail.be/stations/NMBS/008866662","Messancy [NMBS/SNCB]","49.592777","5.818915"
"http://irail.be/stations/NMBS/008882701","Manage [NMBS/SNCB]","50.506108","4.234683"
"http://irail.be/stations/NMBS/008872009","Charleroi-Zuid [NMBS/SNCB]","50.404710","4.438567"
"http://irail.be/stations/NMBS/008841665","Milmort [NMBS/SNCB]","50.692455","5.600090"
"http://irail.be/stations/NMBS/008892403","Kortemark [NMBS/SNCB]","51.025244","3.043459"
"http://irail.be/stations/NMBS/008822772","Bornem [NMBS/SNCB]","51.099225","4.240526"
"http://irail.be/stations/NMBS/008895729","Idegem [NMBS/SNCB]","50.801871","3.921553"
"http://irail.be/stations/NMBS/008821824","Melkouwen [NMBS/SNCB]","51.094938","4.671532"
"http://irail.be/stations/NMBS/008893518","Oudegem [NMBS/SNCB]","51.015230","4.064472"
"http://irail.be/stations/NMBS/008200134","Clervaux (l)","50.054724","6.031393"
"http://irail.be/stations/NMBS/008861416","Lonzee [NMBS/SNCB]","50.551935","4.720100"
"http://irail.be/stations/NMBS/008863545","Yvoir [NMBS/SNCB]","50.320840","4.878643"
"http://irail.be/stations/NMBS/008200136","Troisvierges (l)","50.121109","6.000281"
"http://irail.be/stations/NMBS/008883113","Zinnik [NMBS/SNCB]","50.572763","4.067519"
"http://irail.be/stations/NMBS/008821238","Mortsel-Oude God [NMBS/SNCB]","51.171256","4.455737"
"http://irail.be/stations/NMBS/008821857","Booischot [NMBS/SNCB]","51.037344","4.773478"
"http://irail.be/stations/NMBS/008864824","Chapois [NMBS/SNCB]","50.262366","5.124255"
"http://irail.be/stations/NMBS/008844545","Dolhain-Gileppe [NMBS/SNCB]","50.616244","5.936494"
"http://irail.be/stations/NMBS/008864923","Floree [NMBS/SNCB]","50.357786","5.056099"
"http://irail.be/stations/NMBS/008841400","Borgworm [NMBS/SNCB]","50.694549","5.249475"
"http://irail.be/stations/NMBS/008844644","Hergenrath [NMBS/SNCB]","50.718209","6.041335"
"http://irail.be/stations/NMBS/008200130","Kautenbach (l)","49.952777","6.020003"
"http://irail.be/stations/NMBS/008861317","Chapelle-Dieu [NMBS/SNCB]","50.557374","4.697627"
"http://irail.be/stations/NMBS/008865300","Bertrix [NMBS/SNCB]","49.852835","5.267193"
"http://irail.be/stations/NMBS/008863446","Sclaigneaux [NMBS/SNCB]","50.492247","5.026363"
"http://irail.be/stations/NMBS/008200132","Wilwerwiltz (l)","49.988887","5.999166"
"http://irail.be/stations/NMBS/008821337","Hove [NMBS/SNCB]","51.154114","4.465157"
"http://irail.be/stations/NMBS/008200133","Drauffelt (l)","50.017778","6.006106"
"http://irail.be/stations/NMBS/008811437","Bosvoorde [NMBS/SNCB]","50.794698","4.408112"
"http://irail.be/stations/NMBS/008861515","Ernage [NMBS/SNCB]","50.590823","4.668538"
"http://irail.be/stations/NMBS/008843406","Statte [NMBS/SNCB]","50.528276","5.219676"
"http://irail.be/stations/NMBS/008874724","Jemeppe-Sur-Sambre [NMBS/SNCB]","50.450950","4.662632"
"http://irail.be/stations/NMBS/008895802","Denderleeuw [NMBS/SNCB]","50.891925","4.071825"
"http://irail.be/stations/NMBS/008893559","Wetteren [NMBS/SNCB]","51.001603","3.881883"
"http://irail.be/stations/NMBS/008822459","Hever [NMBS/SNCB]","50.997791","4.537637"
"http://irail.be/stations/NMBS/008821659","Kessel [NMBS/SNCB]","51.151057","4.618459"
"http://irail.be/stations/NMBS/008892692","Sint-Denijs-Boekel [NMBS/SNCB]","50.874297","3.698395"
"http://irail.be/stations/NMBS/008811536","Rixensart [NMBS/SNCB]","50.711413","4.532855"
"http://irail.be/stations/NMBS/008866845","Florenville [NMBS/SNCB]","49.706967","5.331115"
"http://irail.be/stations/NMBS/008863453","Nameche [NMBS/SNCB]","50.470430","4.997939"
"http://irail.be/stations/NMBS/008864816","Leignon [NMBS/SNCB]","50.267768","5.107778"
"http://irail.be/stations/NMBS/008874609","Tamines [NMBS/SNCB]","50.432235","4.608823"
